BP_Code,Name,lat,lng
V000613,"Mok, Tony Shu Kam",1.352083,103.819836
V000090,Momory World (S) Pte Ltd,1.3030433,103.8529208
V000558,Monitorbio Pte. Ltd.,1.3371117,103.7597177
V000181,Monolythix Inc,34.1998058,-119.0094848
V000089,Moonbeam Design & Print,1.369402,103.8960478
V000182,Motion Printers & Publications Pte Ltd,1.329173,103.897072
V000460,MP Singapore Pte Ltd,1.3096363,103.8650892
V000354,Mum' Kitchen Catering Pte Ltd,1.336137,103.946789
V000093,My Republic Ltd,1.3369142,103.8486187
V000340,NAMSA,44.9763761,-93.4017027
V000284,Nanyang Technological University,1.3473583,103.6810688
V000094,National University Hospital,1.2946909,103.7832309
V000700,National University Hospital (Singapore) Pte Ltd,1.2946909,103.7832309
V000096,National University Of Singapore,1.2971365,103.7775268
V000430,National University of Singapore - Yong Loo Lin School of Medicine,1.2922126999999999,103.7835464
V000288,Neferti Pte Ltd,1.337623,103.8837244
V000369,nerbe plus Gmbh & CO. KG,53.3362904,10.2271898
V000095,New Splendour Lighting,1.352083,103.819836
V000570,New Town Clinic Pte Ltd,1.3240191000000001,103.9407483
V000417,New Wave Display,1.3349612,103.9435588
V000677,New World Hoiana Hotel & Residences Vietnam,21.1162257,105.495325
V000293,Nigu Chemie GmbH,48.20693,12.4089578
V000381,Northeast Health International Pte Ltd,1.3195353,103.8651872
V000183,Northeast Medical Group,1.3756606,103.8477779
V000261,Northrock Safety Equipment Pte Ltd,1.307798,103.8608749
V000184,Novogeneait Genomics Singapoore Pte Ltd,1.3072727,103.7573384
V000214,NTUC LearningHub Pte Ltd,1.2967568,103.85143
V000441,Numeric Diagnostics (M) Sdn Bhd,1.559575,103.7823107
V000689,Nuo.Material Pte. Ltd.,1.3246133,103.8939553
V000097,Octogram Press Pte Ltd,1.2974996,103.6322017
V000555,Olive Vista Capital Ltd,1.352083,103.819836
V000098,One Champion Pte Ltd,1.3362412,103.8821841
V000465,One Touch Systems Pte Ltd,1.3264874,103.8933935
V000481,Orange Clove Catering Pte Ltd,1.3330524,103.9018151
V000320,Orchid Hotel Pte Ltd,1.352083,103.819836
V000099,Origin Exterminators Pte Ltd,1.3494771,103.8414653
